symbol,market,date,open,high,low,close,volume
AAPL,US,2024-12-30,224.96,226.65,223.61,225.3,900000
AAPL,US,2024-12-31,225.88,227.58,224.52,226.22,924000
AAPL,US,2025-01-01,226.76,228.47,225.4,227.11,948000
AAPL,US,2025-01-02,227.56,229.3,226.19,227.93,972000
AAPL,US,2025-01-03,228.25,230.01,226.88,228.64,996000
AAPL,US,2025-01-06,228.79,230.59,227.42,229.21,1020000
AAPL,US,2025-01-07,229.18,231.01,227.8,229.63,1044000
AAPL,US,2025-01-08,229.4,231.27,228.02,229.89,1068000
AAPL,US,2025-01-09,229.43,231.34,228.05,229.96,1092000
AAPL,US,2025-01-10,229.29,231.24,227.91,229.86,1116000
AAPL,US,2025-01-13,228.99,230.97,227.62,229.59,1140000
AAPL,US,2025-01-14,228.52,230.53,227.15,229.16,1164000
AAPL,US,2025-01-15,227.94,229.98,226.57,228.61,1188000
AAPL,US,2025-01-16,227.24,229.32,225.88,227.95,1212000
AAPL,US,2025-01-17,226.49,228.58,225.13,227.22,1236000
AAPL,US,2025-01-20,225.7,227.81,224.35,226.45,1260000
AAPL,US,2025-01-21,224.91,227.03,223.56,225.68,1284000
AAPL,US,2025-01-22,224.18,226.31,222.83,224.96,900000
AAPL,US,2025-01-23,223.52,225.65,222.18,224.3,924000
AAPL,US,2025-01-24,222.98,225.1,221.64,223.76,948000
AAPL,US,2025-01-27,222.57,224.68,221.23,223.34,972000
AAPL,US,2025-01-28,222.32,224.42,220.99,223.08,996000
AAPL,US,2025-01-29,222.26,224.34,220.93,223,1020000
AAPL,US,2025-01-30,222.37,224.43,221.04,223.09,1044000
AAPL,US,2025-01-31,222.66,224.69,221.32,223.35,1068000
AAPL,US,2025-02-03,223.13,225.13,221.79,223.79,1092000
AAPL,US,2025-02-04,223.75,225.73,222.41,224.38,1116000
AAPL,US,2025-02-05,224.51,226.45,223.16,225.1,1140000
AAPL,US,2025-02-06,225.37,227.28,224.02,225.92,1164000
AAPL,US,2025-02-07,226.29,228.17,224.93,226.81,1188000
AAPL,US,2025-02-10,227.25,229.1,225.89,227.73,1212000
AAPL,US,2025-02-11,228.21,230.03,226.84,228.66,1236000
AAPL,US,2025-02-12,229.12,230.92,227.75,229.54,1260000
AAPL,US,2025-02-13,229.95,231.73,228.57,230.35,1284000
AAPL,US,2025-02-14,230.67,232.44,229.29,231.05,900000
AAPL,US,2025-02-17,231.25,233,229.86,231.61,924000
AAPL,US,2025-02-18,231.67,233.41,230.28,232.02,948000
AAPL,US,2025-02-19,231.91,233.65,230.52,232.26,972000
AAPL,US,2025-02-20,231.97,233.71,230.58,232.32,996000
AAPL,US,2025-02-21,231.84,233.59,230.45,232.2,1020000
AAPL,US,2025-02-24,231.54,233.31,230.15,231.92,1044000
AAPL,US,2025-02-25,231.08,232.87,229.69,231.48,1068000
AAPL,US,2025-02-26,230.49,232.31,229.11,230.92,1092000
AAPL,US,2025-02-27,229.79,231.63,228.41,230.25,1116000
AAPL,US,2025-02-28,229.02,230.89,227.65,229.51,1140000
AAPL,US,2025-03-03,228.22,230.12,226.85,228.75,1164000
AAPL,US,2025-03-04,227.42,229.35,226.06,227.98,1188000
AAPL,US,2025-03-05,226.66,228.62,225.3,227.26,1212000
AAPL,US,2025-03-06,225.98,227.97,224.62,226.61,1236000
AAPL,US,2025-03-07,225.41,227.44,224.06,226.08,1260000
AAPL,US,2025-03-10,224.98,227.03,223.63,225.68,1284000
AAPL,US,2025-03-11,224.7,226.78,223.35,225.43,900000
AAPL,US,2025-03-12,224.61,226.71,223.26,225.36,924000
AAPL,US,2025-03-13,224.69,226.81,223.34,225.46,948000
AAPL,US,2025-03-14,224.96,227.09,223.61,225.74,972000
AAPL,US,2025-03-17,225.4,227.55,224.05,226.19,996000
AAPL,US,2025-03-18,226,228.15,224.64,226.79,1020000
AAPL,US,2025-03-19,226.73,228.89,225.37,227.52,1044000
AAPL,US,2025-03-20,227.57,229.72,226.2,228.35,1068000
AAPL,US,2025-03-21,228.48,230.62,227.11,229.24,1092000
AAPL,US,2025-03-24,229.43,231.55,228.05,230.17,1116000
AAPL,US,2025-03-25,230.38,232.48,229,231.09,1140000
AAPL,US,2025-03-26,231.29,233.36,229.9,231.97,1164000
AAPL,US,2025-03-27,232.12,234.17,230.73,232.77,1188000
AAPL,US,2025-03-28,232.85,234.86,231.45,233.46,1212000
AAPL,US,2025-03-31,233.44,235.41,232.04,234.01,1236000
AAPL,US,2025-04-01,233.88,235.82,232.48,234.41,1260000
AAPL,US,2025-04-02,234.13,236.04,232.73,234.63,1284000
AAPL,US,2025-04-03,234.22,236.09,232.81,234.68,900000
AAPL,US,2025-04-04,234.12,235.96,232.72,234.55,924000
AAPL,US,2025-04-07,233.85,235.66,232.45,234.25,948000
AAPL,US,2025-04-08,233.42,235.2,232.02,233.8,972000
AAPL,US,2025-04-09,232.87,234.63,231.47,233.23,996000
AAPL,US,2025-04-10,232.2,233.95,230.81,232.55,1020000
AAPL,US,2025-04-11,231.46,233.2,230.07,231.81,1044000
AAPL,US,2025-04-14,230.69,232.43,229.31,231.04,1068000
AAPL,US,2025-04-15,229.92,231.66,228.54,230.28,1092000
AAPL,US,2025-04-16,229.18,230.94,227.8,229.56,1116000
AAPL,US,2025-04-17,228.53,230.3,227.16,228.93,1140000
AAPL,US,2025-04-18,227.98,229.77,226.61,228.4,1164000
AAPL,US,2025-04-21,227.56,229.38,226.19,228.01,1188000
AAPL,US,2025-04-22,227.29,229.15,225.93,227.78,1212000
AAPL,US,2025-04-23,227.2,229.09,225.84,227.72,1236000
AAPL,US,2025-04-24,227.28,229.21,225.92,227.84,1260000
AAPL,US,2025-04-25,227.53,229.5,226.16,228.13,1284000
AAPL,US,2025-04-28,227.95,229.96,226.58,228.59,900000
AAPL,US,2025-04-29,228.52,230.58,227.15,229.2,924000
AAPL,US,2025-04-30,229.23,231.32,227.85,229.94,948000
AAPL,US,2025-05-01,230.02,232.15,228.64,230.77,972000
AAPL,US,2025-05-02,230.9,233.06,229.51,231.67,996000
AAPL,US,2025-05-05,231.8,234,230.41,232.6,1020000
AAPL,US,2025-05-06,232.71,234.92,231.31,233.52,1044000
AAPL,US,2025-05-07,233.57,235.8,232.17,234.39,1068000
AAPL,US,2025-05-08,234.36,236.59,232.95,235.18,1092000
AAPL,US,2025-05-09,235.04,237.28,233.63,235.86,1116000
AAPL,US,2025-05-12,235.61,237.83,234.2,236.41,1140000
AAPL,US,2025-05-13,236,238.21,234.58,236.79,1164000
AAPL,US,2025-05-14,236.24,238.42,234.82,237,1188000
AAPL,US,2025-05-15,236.3,238.45,234.88,237.03,1212000
AAPL,US,2025-05-16,236.2,238.31,234.78,236.89,1236000
AAPL,US,2025-05-19,235.92,238,234.5,236.58,1260000
AAPL,US,2025-05-20,235.5,237.54,234.09,236.12,1284000
AAPL,US,2025-05-21,234.97,236.95,233.56,235.54,900000
AAPL,US,2025-05-22,234.33,236.27,232.92,234.86,924000
AAPL,US,2025-05-23,233.62,235.51,232.22,234.11,948000
AAPL,US,2025-05-26,232.88,234.74,231.48,233.34,972000
AAPL,US,2025-05-27,232.16,233.98,230.77,232.58,996000
AAPL,US,2025-05-28,231.47,233.26,230.08,231.87,1020000
AAPL,US,2025-05-29,230.87,232.63,229.48,231.24,1044000
AAPL,US,2025-05-30,230.36,232.1,228.98,230.72,1068000
AAPL,US,2025-06-02,229.99,231.72,228.61,230.34,1092000
AAPL,US,2025-06-03,229.78,231.51,228.4,230.13,1116000
AAPL,US,2025-06-04,229.73,231.46,228.35,230.08,1140000
AAPL,US,2025-06-05,229.85,231.59,228.47,230.21,1164000
AAPL,US,2025-06-06,230.14,231.9,228.76,230.52,1188000
AAPL,US,2025-06-09,230.59,232.38,229.21,230.99,1212000
AAPL,US,2025-06-10,231.19,233.01,229.8,231.62,1236000
AAPL,US,2025-06-11,231.9,233.75,230.51,232.36,1260000
AAPL,US,2025-06-12,232.7,234.6,231.3,233.2,1284000
AAPL,US,2025-06-13,233.57,235.51,232.17,234.11,900000
AAPL,US,2025-06-16,234.46,236.45,233.05,235.04,924000
AAPL,US,2025-06-17,235.32,237.37,233.91,235.95,948000
AAPL,US,2025-06-18,236.15,238.24,234.73,236.82,972000
AAPL,US,2025-06-19,236.89,239.03,235.47,237.6,996000
AAPL,US,2025-06-20,237.53,239.7,236.1,238.27,1020000
AAPL,US,2025-06-23,238.03,240.23,236.6,238.8,1044000
AAPL,US,2025-06-24,238.37,240.61,236.94,239.17,1068000
AAPL,US,2025-06-25,238.55,240.81,237.12,239.37,1092000
AAPL,US,2025-06-26,238.56,240.83,237.13,239.39,1116000
AAPL,US,2025-06-27,238.39,240.67,236.96,239.23,1140000
AAPL,US,2025-06-30,238.08,240.34,236.65,238.91,1164000
AAPL,US,2025-07-01,237.61,239.87,236.18,238.44,1188000
AAPL,US,2025-07-02,237.03,239.27,235.61,237.84,1212000
AAPL,US,2025-07-03,236.37,238.58,234.95,237.16,1236000
AAPL,US,2025-07-04,235.65,237.83,234.24,236.41,1260000
AAPL,US,2025-07-07,234.92,237.05,233.51,235.64,1284000
AAPL,US,2025-07-08,234.19,236.29,232.78,234.88,900000
AAPL,US,2025-07-09,233.52,235.58,232.12,234.17,924000
AAPL,US,2025-07-10,232.94,234.95,231.54,233.55,948000
AAPL,US,2025-07-11,232.48,234.45,231.09,233.05,972000
AAPL,US,2025-07-14,232.15,234.08,230.76,232.68,996000
AAPL,US,2025-07-15,231.98,233.86,230.59,232.47,1020000
AAPL,US,2025-07-16,231.99,233.83,230.6,232.44,1044000
AAPL,US,2025-07-17,232.17,233.99,230.78,232.59,1068000
AAPL,US,2025-07-18,232.51,234.31,231.11,232.91,1092000
AAPL,US,2025-07-21,233.02,234.8,231.62,233.4,1116000
AAPL,US,2025-07-22,233.67,235.43,232.27,234.03,1140000
AAPL,US,2025-07-23,234.44,236.2,233.03,234.79,1164000
AAPL,US,2025-07-24,235.28,237.04,233.87,235.63,1188000
AAPL,US,2025-07-25,236.18,237.96,234.76,236.54,1212000
AAPL,US,2025-07-28,237.1,238.89,235.68,237.47,1236000
AAPL,US,2025-07-29,237.99,239.81,236.56,238.38,1260000
AAPL,US,2025-07-30,238.82,240.68,237.39,239.24,1284000
AAPL,US,2025-07-31,239.57,241.46,238.13,240.02,900000
AAPL,US,2025-08-01,240.2,242.12,238.76,240.68,924000
AAPL,US,2025-08-04,240.68,242.65,239.24,241.2,948000
AAPL,US,2025-08-05,240.99,243,239.54,241.55,972000
AAPL,US,2025-08-06,241.14,243.19,239.69,241.74,996000
AAPL,US,2025-08-07,241.1,243.19,239.65,241.74,1020000
AAPL,US,2025-08-08,240.89,243.02,239.44,241.57,1044000
AAPL,US,2025-08-11,240.51,242.68,239.07,241.23,1068000
AAPL,US,2025-08-12,240,242.19,238.56,240.75,1092000
AAPL,US,2025-08-13,239.37,241.59,237.93,240.15,1116000
AAPL,US,2025-08-14,238.66,240.9,237.23,239.46,1140000
AAPL,US,2025-08-15,237.89,240.14,236.46,238.71,1164000
AAPL,US,2025-08-18,237.11,239.37,235.69,237.94,1188000
AAPL,US,2025-08-19,236.35,238.6,234.93,237.18,1212000
AAPL,US,2025-08-20,235.65,237.9,234.24,236.48,1236000
AAPL,US,2025-08-21,235.05,237.29,233.64,235.87,1260000
AAPL,US,2025-08-22,234.57,236.78,233.16,235.37,1284000
AAPL,US,2025-08-25,234.24,236.43,232.83,235.02,900000
AAPL,US,2025-08-26,234.08,236.24,232.68,234.83,924000
AAPL,US,2025-08-27,234.09,236.22,232.69,234.81,948000
AAPL,US,2025-08-28,234.28,236.38,232.87,234.97,972000
AAPL,US,2025-08-29,234.65,236.71,233.24,235.3,996000
AAPL,US,2025-09-01,235.19,237.21,233.78,235.8,1020000
AAPL,US,2025-09-02,235.88,237.87,234.46,236.45,1044000
AAPL,US,2025-09-03,236.67,238.63,235.25,237.21,1068000
AAPL,US,2025-09-04,237.56,239.49,236.13,238.06,1092000
AAPL,US,2025-09-05,238.5,240.4,237.07,238.97,1116000
AAPL,US,2025-09-08,239.46,241.34,238.02,239.9,1140000
AAPL,US,2025-09-09,240.4,242.25,238.96,240.81,1164000
AAPL,US,2025-09-10,241.28,243.12,239.83,241.67,1188000
AAPL,US,2025-09-11,242.07,243.89,240.62,242.44,1212000
AAPL,US,2025-09-12,242.72,244.55,241.26,243.09,1236000
AAPL,US,2025-09-15,243.22,245.05,241.76,243.59,1260000
AAPL,US,2025-09-16,243.56,245.39,242.1,243.93,1284000
AAPL,US,2025-09-17,243.72,245.56,242.26,244.1,900000
AAPL,US,2025-09-18,243.69,245.55,242.23,244.09,924000
AAPL,US,2025-09-19,243.48,245.37,242.02,243.91,948000
AAPL,US,2025-09-22,243.11,245.02,241.65,243.56,972000
AAPL,US,2025-09-23,242.58,244.53,241.12,243.07,996000
AAPL,US,2025-09-24,241.94,243.91,240.49,242.46,1020000
AAPL,US,2025-09-25,241.2,243.21,239.75,241.76,1044000
AAPL,US,2025-09-26,240.41,242.46,238.97,241.01,1068000
AAPL,US,2025-09-29,239.59,241.67,238.15,240.23,1092000
AAPL,US,2025-09-30,238.8,240.92,237.37,239.48,1116000
AAPL,US,2025-10-01,238.08,240.22,236.65,238.79,1140000
AAPL,US,2025-10-02,237.44,239.61,236.02,238.18,1164000
AAPL,US,2025-10-03,236.93,239.13,235.51,237.7,1188000
AAPL,US,2025-10-06,236.56,238.77,235.14,237.35,1212000
AAPL,US,2025-10-07,236.37,238.6,234.95,237.18,1236000
AAPL,US,2025-10-08,236.35,238.59,234.93,237.17,1260000
AAPL,US,2025-10-09,236.52,238.77,235.1,237.35,1284000
AAPL,US,2025-10-10,236.87,239.13,235.45,237.7,900000
AAPL,US,2025-10-13,237.39,239.64,235.97,238.21,924000
AAPL,US,2025-10-14,238.05,240.29,236.62,238.86,948000
AAPL,US,2025-10-15,238.85,241.08,237.42,239.64,972000
AAPL,US,2025-10-16,239.72,241.93,238.28,240.49,996000
AAPL,US,2025-10-17,240.67,242.86,239.23,241.41,1020000
AAPL,US,2025-10-20,241.63,243.79,240.18,242.34,1044000
AAPL,US,2025-10-21,242.57,244.7,241.11,243.24,1068000
AAPL,US,2025-10-22,243.46,245.55,242,244.09,1092000
AAPL,US,2025-10-23,244.26,246.32,242.79,244.85,1116000
AAPL,US,2025-10-24,244.94,246.96,243.47,245.49,1140000
AAPL,US,2025-10-27,245.47,247.46,244,245.98,1164000
AAPL,US,2025-10-28,245.83,247.79,244.36,246.31,1188000
AAPL,US,2025-10-29,246.02,247.95,244.54,246.47,1212000
AAPL,US,2025-10-30,246.02,247.92,244.54,246.44,1236000
AAPL,US,2025-10-31,245.84,247.72,244.36,246.24,1260000
AAPL,US,2025-11-03,245.5,247.36,244.03,245.88,1284000
AAPL,US,2025-11-04,245.01,246.85,243.54,245.38,900000
AAPL,US,2025-11-05,244.39,246.23,242.92,244.76,924000
AAPL,US,2025-11-06,243.69,245.52,242.23,244.06,948000
AAPL,US,2025-11-07,242.92,244.76,241.46,243.3,972000
AAPL,US,2025-11-10,242.13,243.99,240.68,242.53,996000
AAPL,US,2025-11-11,241.36,243.23,239.91,241.78,1020000
AAPL,US,2025-11-12,240.64,242.54,239.2,241.09,1044000
AAPL,US,2025-11-13,240.02,241.94,238.58,240.5,1068000
AAPL,US,2025-11-14,239.5,241.46,238.06,240.02,1092000
AAPL,US,2025-11-17,239.13,241.13,237.7,239.69,1116000
AAPL,US,2025-11-18,238.93,240.97,237.5,239.53,1140000
AAPL,US,2025-11-19,238.9,240.98,237.47,239.54,1164000
AAPL,US,2025-11-20,239.05,241.17,237.62,239.73,1188000
AAPL,US,2025-11-21,239.37,241.53,237.93,240.09,1212000
AAPL,US,2025-11-24,239.87,242.06,238.43,240.62,1236000
AAPL,US,2025-11-25,240.5,242.73,239.06,241.28,1260000
AAPL,US,2025-11-26,241.25,243.51,239.8,242.06,1284000
AAPL,US,2025-11-27,242.1,244.39,240.65,242.93,900000
AAPL,US,2025-11-28,242.99,245.3,241.53,243.84,924000
AAPL,US,2025-12-01,243.91,246.24,242.45,244.77,948000
AAPL,US,2025-12-02,244.81,247.14,243.34,245.67,972000
AAPL,US,2025-12-03,245.67,248,244.2,246.52,996000
AAPL,US,2025-12-04,246.43,248.75,244.95,247.27,1020000
AAPL,US,2025-12-05,247.08,249.39,245.6,247.9,1044000
